노선명,방면,시간
8200,수원,05:35
8200,수원,06:24
8200,수원,07:17
8200,수원,08:08
8200,수원,08:48
8200,수원,09:39
8200,수원,10:30
8200,수원,11:15
8200,수원,11:56
8200,수원,12:36
8200,수원,13:18
8200,수원,14:00
8200,수원,14:38
8200,수원,15:24
8200,수원,16:18
8200,수원,16:57
8200,수원,17:47
8200,수원,18:21
8200,수원,19:00
8200,수원,19:38
8200,수원,20:29
8200,수원,20:53
8200,수원,21:47
8200,수원,22:24
8200,안성,07:26
8200,안성,08:12
8200,안성,08:42
8200,안성,09:06
8200,안성,09:57
8200,안성,10:48
8200,안성,11:27
8200,안성,12:24
8200,안성,13:06
8200,안성,14:00
8200,안성,14:54
8200,안성,15:42
8200,안성,16:15
8200,안성,16:57
8200,안성,17:48
8200,안성,18:25
8200,안성,19:07
8200,안성,19:38
8200,안성,20:26
8200,안성,21:05
8200,안성,21:48
8200,안성,22:24
8200,안성,23:23
4401,안성,07:24
4401,안성,08:09
4401,안성,08:51
4401,안성,09:27
4401,안성,09:57
4401,안성,10:30
4401,안성,10:45
4401,안성,11:06
4401,안성,11:33
4401,안성,11:51
4401,안성,12:12
4401,안성,12:36
4401,안성,12:48
4401,안성,13:06
4401,안성,13:30
4401,안성,13:57
4401,안성,14:39
4401,안성,14:54
4401,안성,15:33
4401,안성,15:51
4401,안성,16:06
4401,안성,16:36
4401,안성,16:57
4401,안성,17:39
4401,안성,18:04
4401,안성,18:32
4401,안성,18:50
4401,안성,19:14
4401,안성,19:35
4401,안성,19:52
4401,안성,20:03
4401,안성,20:26
4401,안성,20:59
4401,안성,21:29
4401,안성,21:54
4401,안성,22:08
4401,안성,22:29
4401,안성,22:47
4401,안성,23:08
4401,안성,23:42
4401,안성,00:02
4401,안성,00:26
4401,안성,00:53
4401,강남역,05:06
4401,강남역,05:50
4401,강남역,06:35
4401,강남역,07:05
4401,강남역,07:36
4401,강남역,08:06
4401,강남역,08:26
4401,강남역,08:47
4401,강남역,09:08
4401,강남역,09:27
4401,강남역,09:45
4401,강남역,10:06
4401,강남역,10:27
4401,강남역,10:45
4401,강남역,11:06
4401,강남역,11:36
4401,강남역,12:06
4401,강남역,12:27
4401,강남역,12:48
4401,강남역,13:09
4401,강남역,13:27
4401,강남역,13:45
4401,강남역,14:09
4401,강남역,14:39
4401,강남역,15:09
4401,강남역,15:39
4401,강남역,16:06
4401,강남역,16:27
4401,강남역,16:48
4401,강남역,17:07
4401,강남역,17:29
4401,강남역,17:46
4401,강남역,18:08
4401,강남역,18:36
4401,강남역,19:08
4401,강남역,19:28
4401,강남역,19:48
4401,강남역,20:08
4401,강남역,20:27
4401,강남역,20:47
4401,강남역,21:06
4401,강남역,21:38
4401,강남역,22:05
4401,강남역,22:35
8201,성남,05:44
8201,성남,06:45
8201,성남,07:44
8201,성남,08:45
8201,성남,09:57
8201,성남,10:57
8201,성남,12:09
8201,성남,13:17
8201,성남,14:18
8201,성남,15:18
8201,성남,16:27
8201,성남,17:36
8201,성남,18:47
8201,성남,19:56
8201,성남,21:05
8201,성남,22:15
8201,안성,00:23
8201,안성,07:47
8201,안성,08:54
8201,안성,10:00
8201,안성,10:48
8201,안성,12:03
8201,안성,13:00
8201,안성,14:15
8201,안성,15:18
8201,안성,16:24
8201,안성,17:29
8201,안성,18:42
8201,안성,19:45
8201,안성,20:51
8201,안성,22:02
8201,안성,23:17
8202,안성,00:17
8202,안성,07:30
8202,안성,08:29
8202,안성,09:51
8202,안성,11:12
8202,안성,12:45
8202,안성,13:39
8202,안성,14:45
8202,안성,15:57
8202,안성,17:22
8202,안성,18:39
8202,안성,20:45
8202,안성,21:56
8202,안성,23:23
8202,동탄,05:45
8202,동탄,06:56
8202,동탄,08:05
8202,동탄,09:18
8202,동탄,10:27
8202,동탄,11:38
8202,동탄,12:57
8202,동탄,14:18
8202,동탄,15:42
8202,동탄,16:48
8202,동탄,17:57
8202,동탄,19:10
8202,동탄,20:17
8202,동탄,21:26
8202,동탄,22:39
